Name,Type,Move Power,Move Time,PP,Duration,Range,Description,Dmg lvl 1,Dmg lvl 5,Dmg lvl 10,Dmg lvl 17
Air Cutter,Flying,DEX,1 action,15,Instantaneous,30ft,"You create a gust of razor-like wind to slash an opponent. Make a ranged attack against an opponent, doing 1d10 + MOVE flying damage on a hit. This move scores a critical hit on 19 and 20.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Air Slash,Flying,DEX,1 action,10,Instantaneous,30ft,"You slash at an opponent with a blade of sharp air.  Make a ranged attack on an opponent, dealing 1d12 + MOVE flying damage on a hit. On a natural attack roll of 15 or higher, the target flinches if it has not taken a turn this round.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Ally Switch,Psychic,None,1 action,10,Instantaneous,50ft,"You use a strange psychic power to teleport yourself and one willing creature in range, switching places on the battlefield.",,,,
Amnesia,Psychic,None,1 bonus action,10,1 minute,Self,"Your mind elevates to a new level of focus. Add +2 to any saving throw you make for the duration, but select one of your moves that is not Amnesia. You forget that move and cannot use it for the duration.",,,,
Ancient Power,Rock,STR/DEX,1 action,3,Instantaneous,Melee,"You lash out with unknown inner power. Make a melee attack roll against a creature, doing 1d10 + MOVE rock damage on a hit. On a natural attack roll of 19 or 20, all of your ability scores go up by 1 while you remain in battle. This move can be stacked for a maximum of +5 to all ability scores.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Aqua Jet,Water,DEX,1 bonus action,15,Instantaneous,10ft,"You lunge at an opponent with incredible speed. Choose a target withing 10 feet of you. A burst of water propels you towards that opponent, avoiding all attacks of opportunity. Make a melee attack on that creature, dealing 1d4 water damage on a hit.",1d4,1d6,1d10,1d12
Aqua Ring,Water,None,1 action,10,"1 minute, Concentration",Self,"You surround yourself with a veil of healing water. At the end of each of your turns, as long as you hold concentration, regain a number of hit points equal to your level.",,,,
Aqua Tail,Water,STR/DEX,1 action,5,Instantaneous,Melee,"You lash out with your tail to strike an opponent. Make a melee attack, dealing 2d8 + MOVE water damage on a hit.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Arm Thrust,Fighting,STR/DEX,1 action,10,Instantaneous,Melee,"You unleash a flurry of fists on an opponent. Make a melee attack roll, doing 1d4 + MOVE fighting damage on a hit. After successfully hitting a target, roll a d4. On a result of 3 or 4, you may immediately hit again for an additional 1d4 fighting damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll, up to a maximum of four additional hits.",1d4+Move,1d6+Move,1d8+Move,2d6+Move
Aromatherapy,Grass,None,1 action,3,Instantaneous,10ft radius,"You release a pleasant aroma that empowers your allies. All allies within a ten foot circle, centered on you, are cured of all negative status ailments.",,,,
Aromatic Mist,Fairy,None,1 action,5,1 minute,5ft,"You release an aroma that inspires your allies. When you activate this move, you and any ally within 5 feet of you may add a d4 to any saving throw they make for the duration.",1d4,1d4,1d6,1d6
Assist,Normal,None,1 bonus action,10,Varies,Varies,"You call upon the help of another active creature in your party. When activating this Move, another player may immediately take an action in place of your own, if you have not already taken an action this turn.",,,,
Assurance,Dark,STR/DEX,1 action,5,Instantaneous,Melee,"You strike an opponent where it already hurts. Make a melee attack against an opponent, dealing 1d10 + MOVE dark damage on a hit. If the target has already taken damage in the same round, double the damage dice.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Astonish,Ghost,DEX/WIS,1 action,10,Instantaneous,20ft,"You startle an opponent with a loud shout . Make a ranged attack roll against an opponent doing 1d6 + MOVE ghost damage on a hit. On a natural attack roll of 15 or more, the opponent flinches.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Attack Order,Bug,STR/DEX,1 action,10,Instantaneous,20ft,"You summon your underlings to attack a foe. Make a ranged attack on an opponent, dealing 2d8 + MOVE bug damage on a hit. This move scores a critical hit on rolls of 19 or 20.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Attract,Normal,CHA,1 reaction,5,Instantaneous,Self,"As a reaction, when dealt damage by an attack, you may force the attacker to make a WIS save against your Move DC. On a fail, the creature must roll the damage again and use the lower result.",,,,
Aura Sphere,Fighting,STR/DEX,1 action,5,Instantaneous,30ft,"You focus your aura into a concentrated blast that strikes an opponent in range. This move is guaranteed to hit for 1d6 + MOVE fighting damage, except when targeting an opponent in the invulnerable stages of Fly, Dig, Bounce, etc.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Aurora Beam,Ice,STR/DEX,1 action,10,Instantaneous,40ft line,"You create a 40 foot line of freezing ice, 5 feet wide. Any creature caught in the line must succeed on a DEX save or take 1d10 + MOVE ice damage and be frozen.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Aurora Veil,Ice,None,1 bonus action,3,Instantaneous,Self,"You use the environment to create a shield of ice around your body. Only able to be activated while it is hailing, this move can be used as a bonus action to halve all damage dealt to you for three rounds.",,,,
Autotomize,Steel,None,1 action,10,1 minute,Self,"You shed away part of your body to make yourself lighter and increase your speed. For the duration, your speed increases by 10 feet. This move may be stacked to a maximum speed increase of 30 feet.",,,,
Avalanche,Ice,STR,1 action,5,Instantaneous,30ft,"You send forth a heap of powerful snow to pummel an opponent. Make a ranged attack on a target, dealing 1d10 + MOVE ice damage on a hit. If the target has dealt any damage to you since the end of your last turn, double the damage you deal.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Baby-Doll Eyes,Fairy,None,1 reaction,3,Instantaneous,30ft,"You quickly widen your eyes in an attempt to charm an opponent, decreasing their will to fight. When you or an ally in range are targeted by a Move that requires an attack roll, you may use a reaction to impose disadvantage on the roll.",,,,
Barrage,Normal,STR/DEX,1 action,10,Instantaneous,30ft,"Make a ranged attack on a creature, rolling 1d4 on a hit. You attack with a barrage of ranged strikes equal to the number shown. Each projectile deals 1d4 normal damage.",Xd4,Xd6,2Xd4,2Xd6
Barrier,Psychic,None,1 action,10,"1 minute, Concentration","Self, 5ft","You create a transparent shield of psychic energy. While active, the barrier grants +2 to AC for you and any companions within 5 feet of you for the duration.",,,,
Baton Pass,Normal,None,1 bonus action,20,Instantaneous,Self,"As a bonus action, you may switch a creature out, passing along all negative status effects or stat changes to the new creature. This includes existing substitutes, critical hit bonuses, AC increases, etc.",,,,
Beat Up,Dark,STR,1 action,5,Instantaneous,Melee,"You use strength in numbers to attack a creature. Make a melee attack on a creature, and an additional attack for each conscious creature you are currently carrying, doing 1d6 + MOVE dark damage on each hit.",,,,
Belch,Poison,STR/CON,1 action,5,Instantaneous,15 feet,"You let out a damaging belch at a creature in range. Force the creature to make a CON save against your Move DC, taking 2d10 + MOVE poison damage on a failure, or half as much on a success. If you are holding a berry when activating this move, you may consume it and force the opponent to automatically fail the saving throw.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Belly Drum,Normal,None,1 action,5,While in battle,Self,"You sacrifice health for attack. When using this move, take damage equal to half your maximum, but increase your Strength score by 10 while you remain in battle. After activating this move, you are not affected by potions for the remainder of the encounter.",,,,
Bestow,Normal,None,1 bonus action,3,Instantaneous,30ft,"As a bonus action, you may pass your held item to a willing creature in range, if the target is not currently holding an item.",,,,
Bide,Normal,STR/DEX,1 action,5,2-3 rounds,50ft,"You embrace the damage done to you, waiting for your time to strike. Use your attack action to activate this move, and keep track of all damage done to you before your next turn. On your next turn, you lash out at an enemy with a normal ranged attack, striking them for double the amount of damage you took on a successful hit. At 10th Level, you can choose to hold Bide for a second turn for the chance to add additional damage to the attack.",1 turn,1 turn,2 turns,2 turns
Bind,Normal,STR,1 action,10,Instantaneous,Melee,"You attempt to grapple a target into submission. Make a melee attack roll. On a hit, the target takes 1d4 + MOVE normal damage and is grappled. At the beginning of each of its turns, it may attempt to escape with a STR save against your Move DC. While a creature is grappled, you may continue this move, as a bonus action, to do an automatic 1d4 normal damage without having to make an attack roll.",1d4+Move,1d6+Move,1d8+Move,2d6+Move
Bite,Dark,STR/DEX,1 action,15,Instantaneous,Melee,"You sink your teeth into an enemy creature. Make a melee attack roll, doing 1d10 + MOVE dark damage on a successful hit. On natural attack rolls of 19 or 20, the target flinches",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Blast Burn,Fire,STR/DEX,"1 action, recharge",3,Instantaneous,50ft,"Explosive projectiles rain down upon your opponents in a 10 foot radius. Any creature caught in the blast must succeed on a DEX save against your Move DC or take 3d8 + MOVE fire damage on a fail and half as much on a success. This move saps you of energy, and you may not make any attack until after the end of your next turn.",3d8+Move,5d6+Move,4d12+Move,8d8+Move
Blaze Kick,Fire,STR/DEX,1 action,5,Instantaneous,Melee,"Flames burst from your feet as you deliver a powerful kick. Make a melee attack on an opponent, doing 2d6 + MOVE fire damage on a hit. On a natural attack roll of 18 or more, the target is burned. This move scores a critical hit on 19s and 20s.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Blizzard,Ice,STR/DEX,1 action,3,Instantaneous,120ft,"Icy clouds form overhead and pelt the ground with hail and snow, centered on a point you choose within range. Each creature in a 30 ft radius, centered on a point within range, must make a DEX saving throw against your Move DC, taking 3d6 + MOVE ice damage on a failed save, or half as much on a successful one. Targets that fail the save by 5 or more become frozen.",3d6+Move,3d8+Move,6d6+Move,7d8+Move
Block,Normal,None,1 reaction,3,Instantaneous,50ft,"If an opponent within range attempts to flee or switch out, you may use your reaction to stop it dead in its tracks, keeping this from happening.",,,,
Blue Flare,Fire,STR/DEX,1 action,3,Instantaneous,50ft line,"You unleash an intense and beautiful line of blue flames in a 50 foot line, 5 feet wide. Any creature caught in the line must make a DEX save against your Move DC, taking 5d4 + MOVE fire damage on a failure, or half as much on a success. If a creature fails the save by more than 5, they are burned.",5d4+Move,3d10+Move,5d8+Move,8d8+Move
Body Slam,Normal,STR,1 action,10,Instantaneous,Melee,"You thrust yourself towards an opponent in an attempt to crush them with your physical size. Make a melee attack on a target. On a hit, the target takes 2d6 + MOVE normal damage, and must succeed on a STR saving throw against your Move DC or be knocked prone.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Bolt Strike,Electric,STR/DEX,1 action,3,Instantaneous,50ft,"You send down a powerful strike of lightning from the heavens, surrounding an area of the battlefield with surging electricity. Any opponent caught in a 20 foot radius, centered on a point within range, must make a DEX save against your Move DC, taking 5d4 + MOVE electric damage on a failure, or half as much on a success. If a creature fails the save by more than 5, it becomes paralyzed.",5d4+Move,3d10+Move,5d8+Move,8d8+Move
Bone Club,Ground,STR/DEX,1 action,10,Instantaneous,Melee,"You strike a creature with a club of bone, doing 1d10 + MOVE ground damage on a successful hit. If the natural attack roll is 18 or more, the target flinches.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Bone Rush,Ground,STR,1 action,5,Instantaneous,Melee,"You rush forward to deliver a series of hard hits against a target. Make a melee attack roll, doing 1d4 + MOVE ground damage on a hit. After successfully hitting a target, roll a d4. On a result of 3 or 4, you may immediately hit again for an additional 1d4 ground damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll, up to a maximum of four additional hits.",1d4+Move,2d4+Move,1d12+Move,4d4+Move
Bonemerang,Ground,DEX,1 action,5,Instantaneous,80ft,"You throw a boomerang and make two ranged attacks against a target. On each successful hit, do 1d4 + MOVE ground damage.",1d4+Move,1d6+Move,2d4+Move,3d4+Move
Boomburst,Normal,STR/CHA,1 action,5,Instantaneous,20 ft circle,"You create a deafening, explosive sound that damages all creatures within 20 feet of you. Force any creature in range to make a CON save against your Move DC, taking 2d12 + MOVE normal damage on a failure, or half as much on a success.",2d12+Move,3d10+Move,7d6+Move,8d8+Move
Bounce,Flying,DEX,1 action,3,Instantaneous,30ft,"When you activate this move, you bounce high into the air, disappearing into the Ethereal plane. You may not be targeted by attacks in the Ethereal plane. On your next turn, as an action, you reappear and attempt to slam down on top of an opponent. Make a melee attack roll on an opponent in range, with advantage, doing 2d6 + MOVE flying damage on a hit. On a natural attack roll of 15 or more, the target is paralyzed.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Brave Bird,Flying,STR/DEX,1 action,10,Instantaneous,Melee,"You tuck in your wings and dive at an opponent. Make a melee attack, dealing 2d10 + MOVE flying damage on a hit. On a hit, you also take a quarter of the total (rounded down) in normal-type recoil damage.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Brick Break,Fighting,STR,1 action,10,Instantaneous,Melee,"You strike out with a powerful and focused punch. Make a melee attack roll on an opponent, doing 1d12 + MOVE fighting damage on a hit. On a hit, this move automatically ends an opponent’s Light Screen, and bypasses Reflect with no effect.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Brine,Water,STR/DEX,1 action,5,Instantaneous,40ft,"You send a harsh blast of salt water at an opponent. Make a ranged attack against an opponent, dealing 1d10 + MOVE water damage on a hit. If the opponent has less that 50% of its max HP, double the damage dealt.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Brutal Swing,Dark,STR,1 action,10,Instantaneous,5ft circle,"You swing your arms around violently, attacking anything within a 5 foot circle, centered on yourself. All creatures in range must make a DEX saving throw against your Move DC, taking 1d10 + MOVE dark damage on a failure, or half as much on a success.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Bubble,Water,DEX,1 action,15,Instantaneous,60ft,"You shoot a series of quickly moving bubbles at a target. Make three ranges attacks, doing 1d4 water damage on each successful hit.",1d4,1d8,2d6,3d6
Bubble Beam,Water,STR/DEX,1 action,10,Instantaneous,80ft line,"You shoot a concentrated stream of bubbles in an 80 foot line, 5 feet wide. Any creature caught in the line must succeed on a DEX save against your Move DC, taking 1d10 + MOVE water damage on a failed save, and half as much on a success.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Bug Bite,Bug,STR/DEX,1 action,10,Instantaneous,Melee,"You lash out and bite a foe. Make a melee attack against an opponent, dealing 1d10 + MOVE bug damage on a hit. If the target is holding a berry when you hit, you immediately eat it and gain its effect.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Bug Buzz,Bug,DEX/CHA,1 action,3,Instantaneous,20ft,"You vibrate your wings, creating a harsh sound that damages any creature in range. All creatures within 20 feet of you must make a CON save against your Move DC, taking 2d8 + MOVE bug damage on a fail. If an opponent fails the save by more than 5, they have disadvantage on their next attack.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Bulk Up,Fighting,None,1 action,10,"1 minute, Concentration",Self,"You pump yourself up, increasing your adrenaline. For the next minute, choose to add +1 to your attack rolls OR +1 to AC. This move can be stacked to a maximum of +5 for either choice.",,,,
Bulldoze,Ground,STR,1 action,10,Instantaneous,15 foot circle,"You strike the ground so hard that it ripples out from you in a 15 foot circle. Any creature caught in the area must make a DEX save against your Move DC, taking 1d10 + MOVE ground damage on a failure.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Bullet Punch,Steel,DEX,1 bonus action,15,Instantaneous,Melee,"You strike with a punch that is quick as a bullet. Choose a target withing 10 feet of you. You rush forward to slam a fist into the creature, avoiding all attacks of opportunity. Make a melee attack on that creature, dealing 1d4 steel damage on a hit.",1d4,1d6,1d10,1d12
Bullet Seed,Grass,DEX,1 action,15,Instantaneous,30ft,"Your fire a series of high-speed seeds at an opponent. Make a ranged attack roll, doing 1d4 + MOVE grass damage on a hit. After successfully hitting a target, roll a d4. On a result of 3 or 4, you may immediately hit again for an additional 1d4 grass damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll, up to a maximum of four additional hits.",1d4+Move,2d4+Move,1d12+Move,4d4+Move
Calm Mind,Psychic,None,1 action,10,"1 minute, Concentration",Self,"You clear your mind of all distractions. For the duration, double your STAB bonus when dealing damage of your type.",,,,
Camouflage,Normal,None,1 action,10,"1 minute, Concentration",Self,"You blend in with your surroundings, taking on a new type for resistances/vulnerabilities/immunities. The type is dependent on the terrain, and up to the DMs discretion. (Ex: Forest = Grass, Beach = Water, Desert = Ground/Fire, Mountain = Rock, etc.)",,,,
Captivate,Normal,WIS/CHA,1 reaction,3,Instantaneous,40ft,"You attempt to charm an opponent into pulling its punches. When hit by an attack from an opponent of the opposite gender, you may use a reaction to force it to make a CHA save against your Move DC. On a failure, the attack does not hit.",,,,
Charge,Electric,None,1 action,10,"1 round, Concentration",Self,"Electricity surges through your body, charging up for your next attack. Until your next turn, boost your AC by 2. On your next turn, double your STAB bonus when dealing damage of your type.",,,,
Charge Beam,Electric,STR/DEX,1 action,5,Instantaneous,50ft,"You send a beam of electric energy at an opponent that has a chance to power you up. Make a ranged attack, dealing 1d8 + MOVE electric damage on a hit. If the natural attack roll is 10 or higher and the attack hits, add your proficiency bonus to the damage.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Charm,Fairy,CHA/WIS,1 action,10,1 minute,80ft,"You attempt to charm an opponent, sharply decreasing its attack. A target you choose in range must make a WIS save against your Move DC. On a fail, the target adds -2 to all attacks against you for the duration.",-2,-3,-4,-5
Chatter,Flying,WIS/CHA,1 action,5,Instantaneous,30ft,"You shout a series of disorienting words at an opponent, scrambling their senses. Make a ranged attack. On a hit, deal 1d10 + MOVE flying damage and cause the target to become confused.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Chip Away,Normal,STR/DEX,1 action,10,Instantaneous,Melee,"You wait for an opening, striking with speed when the moment is right. Ignoring any boosts to the AC of a target, make a melee attack, dealing 1d12 + MOVE normal damage on a hit.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Circle Throw,Fighting,STR,1 action,5,Instantaneous,Melee,"You swing the opponent around and throw it as hard as you can, away from the battlefield. Make a melee attack, dealing 1d10 + MOVE fighting damage on a hit. In wild battles, the target takes the damage and flees from battle if its level is lower than that of the user. In trainer battles, the target takes the damage and must be immediately switched out for another creature in the trainer's party, if any remain.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Clamp,Water,STR,1 action,10,1 minute,Melee,"You clamp down on a target, attempting to deal damage and keep them in place. Make a melee attack roll. On a hit, the target takes 1d6 + MOVE water damage and is grappled. At the beginning of each of its turns, it may attempt to pry itself away with a STR save against your Move DC. As long as the target is restrained on your subsequent turns, this move can be activated again as a bonus action with an automatic hit, dealing 1d6 water damage.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Clear Smog,Poison,DEX/CON,1 action,10,Instantaneous,20ft,"You throw a clump of special mud that has the power to remove all stat changes from a target. Make a ranged attack, dealing 1d8 + MOVE poison damage on a hit. On a hit, any stat changes affecting the target since the beginning of battle are reset.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Close Combat,Fighting,STR,1 action,3,Instantaneous,Melee,"You get in close for a devastating strike, sacrificing your defenses. Make a melee attack on an opponent, dealing 2d10 + MOVE fighting damage on a hit. After activating this move, the target has advantage on any attack it makes against you before the beginning of your next turn.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Coil,Poison,None,1 action,3,"1 minute, Concentration",Self,"You coil up and concentrate your power. For the duration, gain +1 to your attack rolls, damage rolls, and AC.",,,,
Comet Punch,Normal,STR/DEX,1 action,10,Instantaneous,Melee,"You strike out with a lightning fast punch. Make a melee attack roll. The target takes 1d4 + MOVE on a hit. After successfully hitting a target, roll a d4. On a result of 3 or 4, you may immediately hit again for an additional 1d4 normal damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll, up to a maximum of four additional hits.",1d4+Move,1d6+Move,1d8+Move,2d6+Move
Confide,Normal,WIS/CHA,1 action,10,Instantaneous,40ft,"You whisper an untold secret into the mind of an opponent in range. The target must make a WIS save against your Move DC, becoming confused on a failure.",,,,
Confuse Ray,Ghost,None,1 action,5,Instantaneous,60ft,You target an opponent in range with a sinister ray of ghostly light. The target becomes confused.,,,,
Confusion,Psychic,INT/WIS,1 action,15,Instantaneous,80ft,"You attempt to enter the mind of an enemy and cause confusion. Make a ranged attack on a creature in range. On a hit, the target takes 1d8 + MOVE psychic damage. If the natural attack roll is 15 or more, the target becomes confused.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Constrict,Normal,STR,1 action,15,Instantaneous,Melee,"You wrap yourself around a creature, trying to squeeze the life from them. Make a melee attack roll. On a hit, the target takes 1d4 + MOVE normal damage and is grappled. At the beginning of each of its turns, it may attempt to escape with a STR save against your Move DC. As long as the target is restrained on your subsequent turns, this move can be activated again as a bonus action with an automatic hit, dealing 1d4 normal damage.",1d4+Move,2d4+Move,1d12+Move,4d4+Move
Conversion,Normal,None,1 bonus action,15,1 minute,Self,"You take on a new type for resistances/vulnerabilities/immunities, equal to one of the types of a move you currently know for the duration.",,,,
Conversion 2,Normal,None,1 reaction,5,1 minute,Self,"After taking damage from an attack, You may use your reaction to change your creature type to one of your choice that is resistant or immune to the type of move used against you for the duration",,,,
Copycat,Normal,None,1 action,10,Instantaneous,Self,"You mimic a target that acted just before you. When activating this move, you use the identical move of the creature whose turn came immediately before yours.",,,,
Cosmic Power,Psychic,None,1 action,10,"1 minute, Concentration",Self,"You call upon a mystic force to come to your aid. For the duration, you have advantage on all saving throws.",,,,
Cotton Guard,Grass,None,1 action,5,"1 minute, Concentration",Self,"You protect yourself by wrapping your body up in thick, soft cotton. For the duration, boost your AC by +2.",,,,
Cotton Spore,Grass,DEX/CON,1 action,20,1 minute,30ft,"You unleash spores of thick cotton that covers the opponent. Force a target in range to make a CON save against your Move DC. On a fail, the target’s speed is reduced by 10 for the duration. If this reduction in speed causes their speed to be 0, they are restrained for the duration.",,,,
Counter,Fighting,DEX/STR,1 reaction,10,Instantaneous,Melee,"When you are hit by a melee attack, you can use your reaction to make a melee attack of opportunity against your foe, doing 1d4 + MOVE fighting damage on a successful hit.",1d4+Move,1d6+Move,1d8+Move,2d6+Move
Covet,Normal,DEX,1 action,15,Instantaneous,Melee,"You strike out with quick and sticky hands. Make a melee attack roll against an opponent, doing 1d10 + MOVE normal damage on a hit. On a successful attack, you steal the opponents held item if you are not currently holding one.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Crabhammer,Water,STR,1 action,5,Instantaneous,Melee,"You slam down onto an opponent with a heavy claw. Make a melee attack roll on a target, dealing 2d8 + MOVE water damage on a hit. This move scores a critical hit on rolls of 19 or 20.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Crafty Shield,Fairy,None,1 reaction,3,Instantaneous,5ft,"You summon forth a mysterious power that blocks an incoming status condition. When you or an ally within 5 feet of you are subject to a status condition from an enemy move, you may use your reaction to nullify the condition.",,,,
Cross Chop,Fighting,STR/DEX,1 action,3,Instantaneous,Melee,"You crush an opponent with a strong sideways strike. Make a melee attack against a target, doing 4d4 + MOVE fighting damage on a hit. Cross Chop results in a critical hit on 19s and 20s.",4d4+Move,2d12+Move,4d8+Move,8d6+Move
Cross Poison,Poison,DEX,1 action,10,Instantaneous,Melee,"You slash at an opponent with a poisonous strike. Make a melee attack, dealing 1d12 + MOVE poison damage on a hit. On a natural attack roll of 19 or 20, the attack is treated as a critical hit and the target is poisoned.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Crunch,Dark,STR/DEX,1 action,10,Instantaneous,Melee,"You unleash a powerful blow that has a chance to temporarily lower a target’s defense. Make a melee attack against a target, doing 2d6 + MOVE dark damage on a hit. On a natural attack roll of 18 or higher, the target’s AC is decreased by 1 for the remainder of combat. This decrease may be stacked, up to a maximum of -5 to AC.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Crush Claw,Normal,STR,1 action,5,Instantaneous,Melee,"You strike out with powerful claws. Make a melee attack roll against an opponent, doing 1d12 + MOVE normal damage on a hit. If the natural attack roll is 15 or more, your next attack on the same target gets an additional +1 to hit.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Crush Grip,Normal,STR,1 action,3,Instantaneous,Melee,"You clasp your hands around an opponent for a crushing blow.  Make a melee attack against a target, dealing 2d10 + MOVE normal damage on a hit. If the target is above 50% of its maximum health, add your proficiency bonus to the damage roll.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Curse,Ghost,WIS/CHA,1 action,5,"1 minute, Concentration",10ft,"This Move has a different effect based on your creature type. 
If you are ghost-type: You attempt to put a curse on an opponent. Force a target in range to make a WIS saving throw against your Move DC. On a fail, the target is cursed. You take 1d6 damage initially and your opponent takes 1d6 ghost damage at the end of each of its turns for the duration. 
If you are any other type: You place a curse on yourself. For the duration, your STR and CON scores increase by 2, but your DEX score decreases by 4.",1d6,2d4,1d12,4d4
Cut,Normal,STR/DEX,1 action,15,Instantaneous,Melee,"You lash out at an enemy with vine or claw or blade. Make a melee roll on an enemy, doing 1d8 + MOVE on a successful hit.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Dark Pulse,Dark,WIS/CHA,1 action,10,Instantaneous,30ft,"You target an opponent with a dark aura filled with horrible thoughts. Make a ranged attack on an opponent, dealing 2d6 + MOVE dark damage on a hit. On natural attack rolls of 17 or higher, the target flinches.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Dark Void,Dark,WIS,1 action,5,Instantaneous,30ft,"You send the minds of your opponents into a world of darkness, putting them to sleep.  All creatures within 30 feet of you must make a WIS save against your Move DC, falling asleep on a failure.",,,,
