Index Number,Evo Stages with Eviolite,Evo Stages w/o Eviolite,Pokémon,Type,SR,AC,Hit Dice,HP,,,WSp,Ssp,Fsp,Senses,STR,DEX,CON,INT,WIS,CHA,MIN LVL FD,Ev,Evolve,Evo Stages,ST1,ST2,ST3,Skill,Res,Vul,Imm,Ability1,Ability2,HiddenAbility,Moves,Evolution for sheet,Evolve Bonus,Climbing Speed,Burrowing Speed,Description 17
11,2,3,Metapod,Bug,1,12,8,29,,,5,,,,10,9,16,6,10,10,2,4,Butterfree,3,CON,,,Survival,"Grass, Ground, Fighting","Fire, Flying, Rock",,Shed Skin,,,"Starting Moves: Harden


Abilities: Shed Skin
","Metapod can evolve into Butterfree at level 6 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,"Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell."
12,3,3,Butterfree,Bug/Flying,6,14,10,38,,,30,,30,,14,15,10,6,12,12,5,6,,3,DEX,CHA,,"Acrobatics, Persuasion","Bug, Fighting, Grass","Electric, Fire, Flying, Ice, Rock",Ground,Compound Eyes,,Tinted Lens,"Starting Moves: Confusion, Gust
Level 6: Poison Powder, Sleep Powder, Stun Spore, Psybeam
Level 10: Silver Wind, Supersonic, Safeguard
Level 14: Whirlwind, Bug Buzz, Rage Powder
Level 18: Captivate, Tailwind, Air Slash, Quiver Dance

TM: 06, 09, 10, 11, 15, 17, 18, 19, 20, 21, 22, 27, 29, 30, 32, 40, 42, 44, 45, 46, 48, 53, 62, 68, 77, 83, 85, 87, 88, 89, 90, 100


Abilities: Compound Eyes
Hidden Ability: Tinted Lens",,,30,,"Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain."
13,1,3,Weedle,Bug/Poison,0.125,11,6,17,,,20,,,,9,10,12,6,10,10,1,,Kakuna,3,,,,,"Bug, Fairy, Fighting, Grass, Poison","Fire, Flying, Psychic, Rock",,Shield Dust,,Run Away,"Starting Moves: Poison Sting, String Shot
Level 2: Bug Bite


Abilities: Shield Dust
Hidden Ability: Run Away","Weedle can evolve into Kakuna at level 4 and above. When it evolves, its health increases by double its level, and it gains 5 points to add to its ability scores (max 20).",5,20,,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
14,2,3,Kakuna,Bug/Poison,1,12,8,29,,,5,,,,10,9,16,6,10,10,2,4,Beedrill,3,CON,,,Survival,"Bug, Fairy, Fighting, Grass, Poison","Fire, Flying, Psychic, Rock",,Shed Skin,,,"Starting Moves: Harden


Abilities: Shed Skin
","Kakuna can evolve into Beedrill at level 6 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
15,3,3,Beedrill,Bug/Poison,6,14,10,47,,,30,,30,,12,16,13,6,12,10,5,6,,3,DEX,CHA,,"Acrobatics, Intimidation","Bug, Fairy, Fighting, Grass, Poison","Fire, Flying, Psychic, Rock",,Swarm,,Sniper,"Starting Moves: Fury Attack, Twineedle
Level 6: Rage, Pursuit
Level 10: Focus Energy, Venoshock, Assurance
Level 14: Toxic Spikes, Pin Missile, Poison Jab
Level 18: Agility, Endeavor, Fell Stinger

TM: 06, 09, 10, 11, 15, 17, 19, 21, 22, 27, 31, 32, 36, 40, 42, 44, 45, 46, 48, 54, 59, 62, 66, 75, 81, 83, 84, 87, 88, 89, 90, 100

Abilities: Swarm
Hidden Ability: Sniper",,,30,,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16,1,3,Pidgey,Normal/Flying,0.25,12,6,16,,,20,,25,,10,12,10,6,10,10,1,,Pidgeotto,3,DEX,,,Perception,"Bug, Grass","Electric, Ice, Rock","Ghost, Ground",Keen Eye,Tangled Feet,Big Pecks,"Starting Moves: Tackle
Level 2: Sand Attack, Gust
Level 6: Quick Attack, Whirlwind
Level 10: Twister, Feather Dance
Level 14: Agility, Wing Attack, Roost
Level 18: Tailwind, Mirror Move, Air Slash, Hurricane

TM: 01, 06, 10, 11, 17, 18, 19, 21, 27, 32, 40, 44, 45, 46, 48, 51, 76, 87, 88, 89, 90, 100

Abilities: Keen Eye, Tangled Feet
Hidden Ability: Big Pecks","Pidgey can evolve into Pidgeotto at level 6 and above. When it evolves, its health increases by double its level, and it gains 7 points to add to its ability scores (max 20).",7,,,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
17,2,3,Pidgeotto,Normal/Flying,3,13,8,40,,,20,,30,,13,14,10,6,12,10,5,6,Pidgeot,3,DEX,,,Perception,"Bug, Grass","Electric, Ice, Rock","Ghost, Ground",Keen Eye,Tangled Feet,Big Pecks,"Starting Moves: Tackle, Sand Attack, Gust
Level 6: Quick Attack, Whirlwind
Level 10: Twister, Feather Dance
Level 14: Agility, Wing Attack, Roost
Level 18: Tailwind, Mirror Move, Air Slash, Hurricane

TM: 01, 06, 10, 11 ,17, 18, 19, 21, 27, 32, 40, 42, 44, 45, 46, 48, 51, 76, 87, 88, 89, 90, 100

Abilities: Keen Eye, Tangled Feet
Hidden Ability: Big Pecks","Pidgeotto can evolve into Pidgeot at level 14 and above. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
18,3,3,Pidgeot,Normal/Flying,10,16,10,77,,,30,,40,,14,20,12,6,14,10,8,14,,3,DEX,,,Perception,"Bug, Grass","Electric, Ice, Rock","Ghost, Ground",Keen Eye,Tangled Feet,Big Pecks,"Starting Moves: Gust, Quick Attack, Sand Attack, Tackle, Whirlwind
Level 10: Twister, Feather Dance
Level 14: Agility, Wing Attack
Level 18: Roost, Tailwind, Mirror Move, Air Slash, Hurricane

TM: 01, 06, 10, 11, 15, 17, 18, 19, 21, 27, 32, 40, 42, 44, 45, 46, 48, 51, 68, 76, 87, 88, 89, 90, 100

Abilities: Keen Eye, Tangled Feet
Hidden Ability: Big Pecks",,,,,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
19,1,2,Rattata,Normal,0.25,12,6,16,,,30,,,Darkvision 30ft.,10,14,11,6,10,8,1,,Raticate,2,DEX,,,"Perception, Stealth",None,Fighting,Ghost,Run Away,Guts,Hustle,"Starting Moves: Tackle, Tail Whip
Level 2: Quick Attack, Focus Energy, Bite
Level 6: Pursuit, Hyper Fang, Assurance
Level 10: Crunch, Sucker Punch
Level 14: Super Fang, Double-Edge, Endeavor

TM: 01, 06, 10, 11, 12 ,13, 14, 17, 18, 21, 24, 25, 27, 30, 32, 42, 44, 45, 46, 48, 57, 73, 86, 87, 88, 89, 90, 93, 100

Abilities: Run Away, Guts
Hidden Ability: Hustle","Rattata can evolve into Raticate at level 6 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,30,,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
20,2,2,Raticate,Normal,5,15,8,45,,,30,,,Darkvision 50ft.,15,15,13,6,12,8,5,6,,2,DEX,,,"Perception, Stealth",None,Fighting,Ghost,Run Away,Guts,Hustle,"Starting Moves: Quick Attack, Tackle, Tail Whip, Focus Energy, Scary Face, Swords Dance, Bite
Level 6: Pursuit, Assurance
Level 10: Hyper Fang, Crunch
Level 14: Sucker Punch, Super Fang
Level 18: Double-Edge, Endeavor

TM: 01, 05, 06, 10, 11, 12, 13, 14, 15, 17, 18, 21, 24, 25, 27, 30, 32, 42, 44, 45, 46, 48, 57, 68, 73, 75, 86, 87, 88, 89, 90, 93, 100

Abilities: Run Away, Guts
Hidden Ability: Hustle",,,20,,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
21,1,2,Spearow,Normal/Flying,0.25,12,6,16,,,10,,25,,10,14,10,6,10,10,1,,Fearow,2,DEX,,,Perception,"Bug, Grass","Electric, Ice, Rock","Ghost, Ground",Keen Eye,,Sniper,"Starting Moves: Growl, Peck, Leer
Level 2: Pursuit, Fury Attack
Level 6: Aerial Ace, Mirror Move
Level 10: Assurance, Agility
Level 14: Focus Energy, Roost
Level 18: Drill Peck

TM: 01, 06, 10, 11, 17, 18, 19, 21, 27, 32, 40, 42, 44, 45, 46, 48, 49, 51, 54, 76, 87, 88, 89, 90, 100

Abilities: Keen Eye
Hidden Ability: Sniper","Spearow can evolve into Fearow at level 6 and above. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,"Inept at flying high. However, it can fly around very fast to protect its territory."
22,2,2,Fearow,Normal/Flying,5,15,8,40,,,15,,40,,15,16,10,6,12,10,5,6,,2,DEX,,,Perception,"Bug, Grass","Electric, Ice, Rock","Ghost, Ground",Keen Eye,,Sniper,"Starting Moves: Growl, Leer, Peck, Pluck, Pursuit
Level 6: Fury Attack, Aerial Ace, Mirror Move
Level 10: Assurance, Agility
Level 14: Focus Energy
Level 18: Roost, Drill Peck, Drill Run

TM: 01, 06, 10, 11, 15, 17, 18, 19, 21, 32, 40, 42, 44, 45, 46, 49, 51, 54, 68, 76, 87, 88, 89, 90, 100

Abilities: Keen Eye
Hidden Ability: Sniper",,,,,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."
23,1,2,Ekans,Poison,0.5,13,6,16,,,30,,,Darkvision 30ft.,12,13,11,8,10,10,1,,Arbok,2,CON,,,"Stealth, Deception","Bug, Fairy, Fighting, Grass, Poison","Ground, Psychic",,Intimidate,Shed Skin,Unnerve,"Starting Moves: Leer, Wrap, Poison Sting
Level 2: Bite, Glare
Level 6: Screech, Acid
Level 10: Spit Up, Stockpile, Swallow
Level 14: Acid Spray, Mud Bomb, Gastro Acid
Level 18: Haze, Coil, Gunk Shot, Belch

TM: 06, 09, 10, 11, 17, 18, 21, 26, 27, 32, 34, 36, 39, 41, 42, 44, 45, 46, 48, 59, 66, 78, 80, 83, 84, 87, 88, 90, 97, 100

Abilities: Intimidate, Shed Skin
Hidden Ability: Unnerve","Ekans can evolve into Arbok at level 7 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
24,2,2,Arbok,Poison,6,15,10,45,,,30,,,Darkvision 50ft.,14,16,12,8,12,10,5,7,,2,CON,,,"Stealth, Deception, Intimidation","Bug, Fairy, Fighting, Grass, Poison","Ground, Psychic",,Intimidate,Shed Skin,Unnerve,"Starting Moves: Bite, Crunch, Fire Fang, Ice Fang, Leer, Poison Sting, Thunder Fang, Wrap
Level 6: Glare, Screech
Level 10: Acid, Spit Up, Stockpile, Swallow
Level 14: Acid Spray, Mud Bomb, Gastro Acid
Level 18: Haze, Coil, Gunk Shot, Belch

TM: 06, 09, 10, 11, 15, 17, 18, 21, 26, 27, 32, 34, 36, 39, 41, 42, 44, 45, 46, 59, 66, 68, 78, 80, 82, 83, 84, 87, 88, 90, 97, 100

Abilities: Intimidate, Shed Skin
Hidden Ability: Unnerve",,,,,The frightening patterns on its belly have been studied. Six variations have been confirmed.
25,1,3,Pikachu,Electric,0.5,13,6,16,,,30,,,,11,15,10,6,10,12,1,3,Raichu,3,DEX,CHA,,"Acrobatics, Persuasion","Electric, Flying, Steel",Ground,,Static,,Lightning Rod,"Starting Moves: Tail Whip, Thunder Shock, Play Nice
Level 2: Growl, Quick Attack, Play Nice
Level 6: Electro Ball, Thunder Wave, Feint
Level 10: Double Team, Spark, Discharge, Nuzzle
Level 14: Slam, Thunderbolt, Agility
Level 18: Wild Charge, Light Screen, Thunder

TM: 06, 10, 16, 17, 18, 21, 24, 25, 27, 31, 32, 42, 44, 45, 48, 49, 56, 57, 72, 73, 86, 87, 88, 90, 93, 100

Abilities: Static
Hidden Ability: Lightning Rod","Pikachu can evolve into Raichu at level 8 and above with the help of a Thunder Stone. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,"This forest-dwelling Pokémon stores electricity in its cheeks, so you’ll feel a tingly shock if you touch it."
26,2,3,Raichu,Electric,7,15,10,50,,,30,,,,12,18,15,6,12,10,5,8,,3,DEX,,,Acrobatics,"Electric, Flying, Steel",Ground,,Static,,Lightning Rod,"Starting Moves: Quick Attack, Tail Whip, Thunder Shock, Thunderbolt

TM: 06, 10, 15, 16, 17, 19, 21, 24, 25, 27, 31, 32, 42, 44, 45, 46, 48, 52, 56, 57, 68, 72, 73, 86, 87, 88, 90, 93, 100

Abilities: Static
Hidden Ability: Lightning Rod",,,,,"When electricity builds up inside its body, it becomes feisty. It also glows in the dark."
27,1,2,Sandshrew,Ground,0.5,14,6,17,,,20,,,Tremorsense 60ft,14,10,12,6,10,10,1,,Sandslash,2,CON,,,Athletics,"Poison, Rock","Grass, Ice, Water",Electric,Sand Veil,,Sand Rush,"Starting Moves: Defense Curl, Scratch, Sand Attack
Level 2: Poison Sting, Rollout, Rapid Spin, Fury Cutter
Level 6: Magnitude, Swift
Level 10: Fury Swipes, Sand Tomb, Slash
Level 14: Dig, Gyro Ball
Level 18: Swords Dance, Sandstorm, Earthquake

TM: 06, 10, 11, 17, 20, 21, 26, 27, 31, 32, 37, 39, 40, 42, 44, 45, 48, 56, 65, 74, 75, 78, 80,81, 84, 87, 88, 90, 100

Abilities: Sand Veil
Hidden Ability: Sand Rush","Sandshrew can evolve into Sandslash at level 7 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,15,"Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew."
28,2,2,Sandslash,Ground,7,16,10,50,,,30,,,Tremorsense 80ft.,16,14,14,6,12,10,5,7,,2,CON,STR,,Athletics,"Poison, Rock","Grass, Ice, Water",Electric,Sand Veil,,Sand Rush,"Starting Moves: Crush Claw, Defense Curl, Poison Sting, Sand Attack, Scratch, Rollout, Rapid Spin, Fury Cutter
Level 6: Magnitude, Swift
Level 10: Fury Swipes, Sand Tomb
Level 14: Slash, Dig
Level 18: Gyro Ball, Swords Dance, Sandstorm, Earthquake

TM: 06, 10, 11, 15, 17, 20, 21, 26, 27, 31, 32, 37, 39, 40, 42, 44, 44, 46, 48, 52, 56, 65, 68, 71, 74, 75, 78, 80, 81, 84, 87, 88, 90, 100

Abilities: Sand Veil
Hidden Ability: Sand Rush",,,,25,"It is skilled at slashing enemies with its claws. If broken, they start to grow back in a day."
29,1,3,Nidoran ♀,Poison,0.25,12,6,17,,,20,,,,12,12,12,6,10,10,1,,Nidorina,3,CON,,,Perception,"Bug, Fairy, Fighting, Grass, Poison","Ground, Psychic",,Poison Point,Rivalry,Hustle,"Starting Moves: Growl, Scratch
Level 2: Tail Whip, Double Kick
Level 6: Poison Sting, Fury Swipes
Level 10: Bite, Helping Hand
Level 14: Toxic Spikes, Flatter
Level 18: Crunch, Captivate, Poison Fang

TM: 06, 09, 10, 11, 13, 14, 17, 18, 21, 24, 25, 27, 32, 36, 40, 42, 44, 45, 46, 48, 49, 65, 84, 87, 88, 90, 100

Abilities: Poison Point, Rivalry
Hidden Ability: Hustle","Nidoran ♀ can evolve into Nidorina at level 6 and above. When it evolves, its health increases by double its level, and it gains 5 points to add to its ability scores (max 20).",5,,,A mild-mannered Pokémon that does not like to fight. Beware—its small horn secretes venom.
30,2,3,Nidorina,Poison,4,14,8,45,,,30,,,,14,13,12,6,12,10,5,6,Nidoqueen,3,CON,,,Perception,"Bug, Fairy, Fighting, Grass, Poison","Ground, Psychic",,Poison Point,Rivalry,Hustle,"Starting Moves: Growl, Scratch, Tail Whip, Double Kick
Level 6: Poison Sting
Level 10: Fury Swipes, Bite
Level 14: Helping Hand, Toxic Spikes
Level 18: Flatter, Crunch, Captivate, Poison Fang

TM: 06, 09, 10, 11, 13, 14, 17, 18, 21, 24, 25, 27, 32, 36, 40, 42, 44, 45, 46, 48, 49, 65, 84, 87, 88, 90, 100

Abilities: Poison Point, Rivalry
Hidden Ability: Hustle","Nidorina can evolve into Nidoqueen at level 14 and above with the help of a Moon Stone. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,"When resting deep in its burrow, its barbs always retract. This is proof that it is relaxed."
31,3,3,Nidoqueen,Poison/Ground,13,16,12,122,,,30,,,,16,16,18,6,14,10,10,14,,3,CON,STR,,"Perception, Survival","Fairy, Fighting, Fire, Bug, Poison","Ground, Ice, Psychic, Water",Electric,Poison Point,Rivalry,Sheer Force,"Starting Moves: Double Kick, Poison Sting, Scratch, Tail Whip, Chip Away
Level 14: Body Slam
Level 18: Earth Power, Superpower

TM: 05, 06, 09, 10, 11, 12, 13, 14, 15, 17, 18, 21, 23, 24, 25, 26, 27, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 48, 52, 56, 60, 65, 68, 71, 78, 80, 82, 84, 87, 88, 90, 94, 100

Abilities: Poison Point, Rivalry
Hidden Ability: Sheer Force",,,,,Tough scales cover the sturdy body of this Pokémon. It appears that the scales grow in cycles.
32,1,3,Nidoran ♂,Poison,0.25,12,6,17,,,20,,,,12,12,12,6,10,10,1,,Nidorino,3,CON,,,Perception,"Bug, Fairy, Fighting, Grass, Poison","Ground, Psychic",,Poison Point,Rivalry,Hustle,"Starting Moves: Leer, Peck
Level 2: Focus Energy, Double Kick
Level 6: Poison Sting, Fury Attack
Level 10: Horn Attack, Helping Hand
Level 14: Toxic Spikes, Flatter
Level 18: Poison Jab, Captivate, Horn Drill

TM: 06, 09, 10, 11, 13, 14, 17, 18, 21, 24, 25, 27, 32, 36, 42, 44, 45, 46, 48, 49, 65, 67, 84, 87, 88, 90, 100

Abilities: Poison Point, Rivalry
Hidden Ability: Hustle","Nidoran ♂ can evolve into Nidorino at level 6 and above. When it evolves, its health increases by double its level, and it gains 5 points to add to its ability scores (max 20).",5,,,"Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting."
33,2,3,Nidorino,Poison,4,14,8,45,,,30,,,,13,14,12,6,12,10,5,6,Nidoking,3,CON,,,Perception,"Bug, Fairy, Fighting, Grass, Poison","Ground, Psychic",,Poison Point,Rivalry,Hustle,"Starting Moves: Leer, Peck, Focus Energy, Double Kick
Level 6: Poison Sting
Level 10: Fury Attack, Horn Attack
Level 14: Helping Hand, Toxic Spikes
Level 18: Flatter, Poison Jab, Captivate, Horn Drill

TM: 06, 09, 10, 11, 13, 14, 17, 18, 21, 24, 25, 27, 32, 36, 42, 44, 45, 46, 48, 49, 65, 67, 84, 87, 88, 90, 100

Abilities: Poison Point, Rivalry
Hidden Ability: Hustle","Nidorino can evolve into Nidoking at level 14 and above with the help of a Moon Stone. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,"Its horn contains venom. If it stabs an enemy with the horn, the impact makes the poison leak out."
